존중,"respect (for) , respect, honor"
내세우다,"(대표·후보 등으로) nominate (sb for sth), field, put up "
지각,"(감각기관을 통해 인식함) (sensory) perception, awareness, sensation, perceive, sense, be aware (of) "
일정,"[형용사] (정해진) fixed, set (특정한) certain (동일한) uniform (변하지 않는) constant, steady, consistent (규칙적인) regular "
형태,"(사물의 모양) shape, form "
성질,"(성격, 기질) temper "
갖추다,"(준비를) prepare, get ready, make preparations[arrangements] (for) "
실제적,practical; matter-of-fact; businesslike.
세밀하다,"detailed, minute, close, elaborate "
끌다,(손가락·집게 등으로) pick up 
접붙이다,graft (sth onto sth)
 현상,(사물의 모양·상태) phenomenon (phenomena) 
알맞게,suitably
조화,"(서로 잘 어울림) harmony, balance (of/between) "
비유적,figurative
다투다,"(말다툼하다) quarrel, argue, fight, have a quarrel, have[get into] an argument, be in conflict (with) (티격태격하다) squabble[bicker] (about/over) "
아랑곳,"(개의) concern, interest, (유의) attention, heed, regard, notice, (간섭) interference, meddling, 아랑곳하다 concern oneself (with) , take an interest (in), meddle in[with] "
통틀어,"throughout, collectively"
꾀하다,"(나쁜 짓을) plot, scheme (비밀스럽게) hatch (a plot) (시도하다) attempt "
고분고분하다 ,"obedient, submissive, compliant, amenable, docile"
업체,"business, (business) enterprise"
기호,"sign, symbol (보통 문자와 숫자 이외의 기호) mark"
도형,figure
문자,(글자) letter (한자·기호 등의) character
표지,"sign, notice"
합하다,"(하나로) combine, unite, join together"
엉클어지다,"(실·머리털이) get tangled, (일이) be[become] entangled, be complicated"
흐리다,"(물이) muddy, murky, cloudy"
분명하다,"(뚜렷하다) clear, distinct, plain"
갖추다,"(준비를) prepare, get ready, make preparations[arrangements] (for)"
특징,"(distinct) characteristic, (distinct) feature, character, peculiarity"
튀다,"(물·침 등이) spatter, splash, splatter"
야멸치다,(be) coldhearted
쏘아붙이다,"snap (at), (informal) bite[snap] one's head off"
결점,"flaw, fault, defect, shortcomings"
책잡다,"find fault with, take to task for, blame (a person)"
터무니없이,"absurdly, ridiculously, unreasonably, outrageously, (formal) preposterously"
헐뜯다,"slander, speak ill of, (informal) run sb down, (informal) badmouth"
형편,"(사정, 상황) circumstances, conditions"
까닭,reason (for/why) (원인) cause (근거) grounds (for)
열매,(나무 등의) fruit (견과류) nut (딸기의) berry
여물다,"(곡식·과일 등이) ripen, grow[get, become] ripe"
채소,"vegetable, (S) greens, (Am, S) veggie"
날것,"raw stuff, uncooked food, raw fish[meat], unripe[green] fruits(과일), untreated article"
순하다,"(성격·태도 등이) gentle, mild, meek (다루기 쉽다) docile   온순하다, 유순하다"
온순하다,"gentle, mild, meek (다루기 쉽다) docile"
됨됨이,"character, personality"
점잖다,"gentle, decent, respectable, well-mannered, (빛깔이) quiet"
찬찬하다,"(꼼꼼하다) (be) meticulous, very attentive, staid, prudent, considerate, punctilious, scrupulous, thorough, cautious, (침착하다) (be) calm, composed, quiet, self-possessed, placid"
자세하다,detailed
인정,"(동정심) compassion, empathy (연민) pity, sympathy (자비심) (formal) benevolence, mercy (친절) kindness"
넘치다,"(물이) overflow, run over, brim over (with) (범람하다) flood"
정성,sincerity
지극하다,"(be) extreme, utmost, exceeding, be at the utmost"
단점,"weakness, flaw, fault, shortcomings, drawback, demerits"
흠잡다,find fault with
